Model ID,Platform,Model modality,Dataset,Benchmark family,Dataset modality,Benchmark tier,Access type,Confidence,Evidence count,Evidence types,Matched aliases,Model URL,Dataset URL,Repository URL
HeetShah3114/chest-xray-xai,,xray,CheXpert,Chexpert,chest x-ray,tier1_canonical,open,high,6,A_githubfirst_repo_file_alias; A_githubfirst_repo_readme_alias,CheXpert,,https://stanfordmlgroup.github.io/competitions/chexpert/,
ChantalPellegrini/RaDialog-interactive-radiology-report-generation,huggingface_models,chest x-ray,MIMIC-CXR Database,Mimic,chest x-ray,tier1_canonical,credentialed,high,4,A_precision_hf_alias; A_precision_repo_file_alias; A_precision_repo_readme_alias,MIMIC-CXR,https://huggingface.co/ChantalPellegrini/RaDialog-interactive-radiology-report-generation,https://physionet.org/content/mimic-cxr/,https://github.com/ChantalMP/RaDialog_v2
Zhenwu-C-Wang/chest-xray-adaptation,,chest x-ray,CheXpert,Chexpert,chest x-ray,tier1_canonical,open,high,4,A_githubfirst_repo_file_alias; A_githubfirst_repo_readme_alias,CheXpert,,https://stanfordmlgroup.github.io/competitions/chexpert/,
habbes/chest-xrays,,xray,CheXpert,Chexpert,chest x-ray,tier1_canonical,open,high,4,A_githubfirst_repo_file_alias; A_githubfirst_repo_readme_alias,CheXpert,,https://stanfordmlgroup.github.io/competitions/chexpert/,
ppddddpp/unified-multimodal-chestxray,huggingface_models,xray,OpenI,Other,chest x-ray,tier1_canonical,open,high,4,A_precision_hf_alias; A_precision_repo_file_alias; A_precision_repo_readme_alias,OpenI,https://huggingface.co/ppddddpp/unified-multimodal-chestxray,https://openi.nlm.nih.gov/,https://github.com/ppddddpp/unified-multimodal-chestxray
ChantalPellegrini/RaDialog-interactive-radiology-report-generation,huggingface_models,chest x-ray,CheXpert,Chexpert,chest x-ray,tier1_canonical,open,high,3,A_precision_hf_alias; A_precision_repo_file_alias; A_precision_repo_readme_alias,CheXpert,https://huggingface.co/ChantalPellegrini/RaDialog-interactive-radiology-report-generation,https://stanfordmlgroup.github.io/competitions/chexpert/,https://github.com/ChantalMP/RaDialog_v2
IAMJB/chexpert-mimic-cxr-findings-baseline,huggingface_models,chest x-ray,CheXpert,Chexpert,chest x-ray,tier1_canonical,open,high,3,A_precision_hf_alias; A_precision_repo_file_alias; A_precision_repo_readme_alias,chexpert plus,https://huggingface.co/IAMJB/chexpert-mimic-cxr-findings-baseline,https://stanfordmlgroup.github.io/competitions/chexpert/,https://github.com/Stanford-AIMI/chexpert-plus
IAMJB/chexpert-mimic-cxr-findings-baseline,huggingface_models,chest x-ray,MIMIC-CXR Database,Mimic,chest x-ray,tier1_canonical,credentialed,high,3,A_precision_hf_alias; A_precision_repo_file_alias; A_precision_repo_readme_alias,MIMIC-CXR,https://huggingface.co/IAMJB/chexpert-mimic-cxr-findings-baseline,https://physionet.org/content/mimic-cxr/,https://github.com/Stanford-AIMI/chexpert-plus
IAMJB/chexpert-mimic-cxr-impression-baseline,huggingface_models,chest x-ray,CheXpert,Chexpert,chest x-ray,tier1_canonical,open,high,3,A_precision_hf_alias; A_precision_repo_file_alias; A_precision_repo_readme_alias,chexpert plus,https://huggingface.co/IAMJB/chexpert-mimic-cxr-impression-baseline,https://stanfordmlgroup.github.io/competitions/chexpert/,https://github.com/Stanford-AIMI/chexpert-plus
IAMJB/chexpert-mimic-cxr-impression-baseline,huggingface_models,chest x-ray,MIMIC-CXR Database,Mimic,chest x-ray,tier1_canonical,credentialed,high,3,A_precision_hf_alias; A_precision_repo_file_alias; A_precision_repo_readme_alias,MIMIC-CXR,https://huggingface.co/IAMJB/chexpert-mimic-cxr-impression-baseline,https://physionet.org/content/mimic-cxr/,https://github.com/Stanford-AIMI/chexpert-plus
IAMJB/mimic-cxr-findings-baseline,huggingface_models,chest x-ray,CheXpert,Chexpert,chest x-ray,tier1_canonical,open,high,3,A_precision_hf_alias; A_precision_repo_file_alias; A_precision_repo_readme_alias,chexpert plus; chexpert-plus,https://huggingface.co/IAMJB/mimic-cxr-findings-baseline,https://stanfordmlgroup.github.io/competitions/chexpert/,https://github.com/Stanford-AIMI/chexpert-plus
